id,name,email,title,department,location,phone,start_date,manager_id,level,skills,projects,bio,manager_name,reports,has_reports,report_count,hierarchy_path,org_level,tenure_years,last_updated
1,James Wilson,james.wilson@company.com,Chief Executive Officer,Executive,"New York, NY",+1-555-8009,2024-12-30,,0,"[""Strategic Planning"", ""Leadership"", ""Business Development""]","[""Company Transformation"", ""Strategic Initiatives""]",Experienced chief executive officer with expertise in executive.,,"[{""id"": ""2"", ""name"": ""Sarah Chen"", ""title"": ""Chief Technology Officer""}, {""id"": ""3"", ""name"": ""Michael Davis"", ""title"": ""Chief Financial Officer""}, {""id"": ""4"", ""name"": ""Jennifer Martinez"", ""title"": ""VP of Human Resources""}, {""id"": ""5"", ""name"": ""Robert Brown"", ""title"": ""VP of Sales""}]",True,4,,0,0.6,2025-08-03T15:29:42.231712
10,Maria Garcia,maria.garcia@company.com,Director of Talent,Human Resources,"Chicago, IL",+1-555-1245,2022-05-31,4,2,"[""Talent Management"", ""Employee Relations"", ""HR Operations""]","[""Talent Development"", ""Culture Enhancement""]",Experienced director of talent with expertise in human resources.,Jennifer Martinez,"[{""id"": ""18"", ""name"": ""Sophie Miller"", ""title"": ""Talent Manager""}]",True,1,,2,3.2,2025-08-03T15:29:42.231812
11,Kevin Lee,kevin.lee@company.com,Director of HR Operations,Human Resources,"Denver, CO",+1-555-8239,2023-08-31,4,2,"[""Talent Management"", ""Employee Relations"", ""HR Operations""]","[""Talent Development"", ""Culture Enhancement""]",Experienced director of hr operations with expertise in human resources.,Jennifer Martinez,"[{""id"": ""19"", ""name"": ""Chris Davis"", ""title"": ""HR Operations Manager""}]",True,1,,2,1.9,2025-08-03T15:29:42.231820
12,Jessica Wilson,jessica.wilson@company.com,Director of Enterprise Sales,Sales,"Austin, TX",+1-555-4385,2023-05-16,5,2,"[""Client Relations"", ""Revenue Growth"", ""Market Development""]","[""Revenue Growth"", ""Market Expansion""]",Experienced director of enterprise sales with expertise in sales.,Robert Brown,"[{""id"": ""20"", ""name"": ""Nicole Adams"", ""title"": ""Sales Manager""}]",True,1,,2,2.2,2025-08-03T15:29:42.231829
13,Daniel Taylor,daniel.taylor@company.com,Director of Sales Operations,Sales,"Dallas, TX",+1-555-7126,2022-05-25,5,2,"[""Client Relations"", ""Revenue Growth"", ""Market Development""]","[""Revenue Growth"", ""Market Expansion""]",Experienced director of sales operations with expertise in sales.,Robert Brown,"[{""id"": ""21"", ""name"": ""Brian Clark"", ""title"": ""Sales Operations Manager""}]",True,1,,2,3.2,2025-08-03T15:29:42.231837
14,Emily Zhang,emily.zhang@company.com,Engineering Manager,Technology,"San Francisco, CA",+1-555-6555,2022-11-17,6,3,"[""Software Development"", ""System Architecture"", ""Cloud Computing""]","[""Platform Modernization"", ""Tech Innovation""]",Experienced engineering manager with expertise in technology.,Lisa Rodriguez,"[{""id"": ""22"", ""name"": ""John Mitchell"", ""title"": ""Senior Software Engineer""}, {""id"": ""23"", ""name"": ""Anna Parker"", ""title"": ""Software Engineer""}]",True,2,,3,2.7,2025-08-03T15:29:42.231846
15,Alex Thompson,alex.thompson@company.com,Product Manager,Technology,"Seattle, WA",+1-555-4246,2024-12-22,7,3,"[""Software Development"", ""System Architecture"", ""Cloud Computing""]","[""Platform Modernization"", ""Tech Innovation""]",Experienced product manager with expertise in technology.,David Kim,"[{""id"": ""24"", ""name"": ""Mike Turner"", ""title"": ""Product Specialist""}]",True,1,,3,0.6,2025-08-03T15:29:42.231855
16,Rachel Green,rachel.green@company.com,Finance Manager,Finance,"New York, NY",+1-555-5959,2024-03-19,8,3,"[""Financial Analysis"", ""Budget Planning"", ""Risk Management""]","[""Financial Optimization"", ""Cost Management""]",Experienced finance manager with expertise in finance.,Amanda Johnson,"[{""id"": ""25"", ""name"": ""Linda Cooper"", ""title"": ""Senior Financial Analyst""}, {""id"": ""26"", ""name"": ""Paul Robinson"", ""title"": ""Financial Analyst""}]",True,2,,3,1.4,2025-08-03T15:29:42.231863
17,Mark Williams,mark.williams@company.com,Accounting Manager,Finance,"Chicago, IL",+1-555-4005,2021-06-28,9,3,"[""Financial Analysis"", ""Budget Planning"", ""Risk Management""]","[""Financial Optimization"", ""Cost Management""]",Experienced accounting manager with expertise in finance.,Thomas Anderson,"[{""id"": ""27"", ""name"": ""Carol White"", ""title"": ""Accountant""}]",True,1,,3,4.1,2025-08-03T15:29:42.231872
18,Sophie Miller,sophie.miller@company.com,Talent Manager,Human Resources,"Chicago, IL",+1-555-3581,2024-03-22,10,3,"[""Talent Management"", ""Employee Relations"", ""HR Operations""]","[""Talent Development"", ""Culture Enhancement""]",Experienced talent manager with expertise in human resources.,Maria Garcia,"[{""id"": ""28"", ""name"": ""Steve Martin"", ""title"": ""HR Specialist""}]",True,1,,3,1.4,2025-08-03T15:29:42.231883
